state,county,infection_rate,percent_vac,percent_republican,date_stay_at_home_effective,lat,lon,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,num_deaths,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
ARIZONA,YUMA,0.1772839321380626,0.586,0.4747217506130918,2020-03-31,32.7694301082438,-113.905597067593,203292,36.8681664881364,36.9,26.3,14.199480988,47.22118,88.75193662,55.331333515,12.5,44116.0,19483.0,1994.0,86694.0,19879.0,20.5,17.4,26.2
ARKANSAS,ARKANSAS,0.1544664302870868,0.497,0.6159047005795235,,34.290815288302,-91.3749171644414,18569,18.7793119734212,30.6,38.2,8.9244531414,55.65759,82.278481013,54.739843193,9.1,43887.0,23287.0,364.0,81740.0,14722.0,19.6,17.8,23.1
ARKANSAS,ASHLEY,0.1156839802614844,0.428,0.6603983669429667,,33.1912166170293,-91.7684630266682,20989,22.6822720895971,42.6,47.4,9.2027221078,39.4419,90.217391304,53.380217786,10.0,41127.0,20290.0,398.0,81208.0,15749.0,19.9,18.1,23.5
ARKANSAS,BAXTER,0.1155442144424306,0.44,0.7427906506121623,,36.2872147381421,-92.3369536481037,40992,73.9549470414219,33.7,29.8,8.3837602026,74.96071,85.875706215,61.727600412,6.2,39686.0,23068.0,797.0,77591.0,20562.0,13.8,30.1,17.7
ARKANSAS,BENTON,0.1217986608918073,0.463,0.628676774353466,,36.3387301991844,-94.2562056794089,245231,289.364376008057,29.3,23.8,10.426607884,60.45813,90.446280992,61.882773715,3.4,68978.0,28996.0,2590.0,124264.0,29912.0,11.4,12.8,27.1
ARKANSAS,BOONE,0.1352051720453088,0.338,0.7594190304760723,,36.3085968435502,-93.0915400605962,37301,63.1866086673998,34.4,30.2,8.6164801628,74.90436,92.592592593,59.392393321,8.4,44482.0,21719.0,617.0,84500.0,20876.0,17.5,19.7,22.2
ARKANSAS,BRADLEY,0.1533029824398402,0.503,0.5923898165891048,,33.4664252173498,-92.1623958254125,11096,17.0908549016021,46.4,40.8,11.556740466,55.22828,90.163934426,46.542553191,11.0,37729.0,20465.0,215.0,84838.0,15350.0,28.8,18.3,23.5
ARKANSAS,CALHOUN,0.0965503950664868,0.315,0.6857646540326134,,33.5580367601381,-92.5030500938852,5210,8.28873417410445,29.4,37.1,8.3375570198,38.11702,91.666666667,53.210202287,6.8,44969.0,21093.0,122.0,89750.0,17463.0,19.2,18.5,19.6
ARKANSAS,CARROLL,0.120260747004933,0.385,0.6307863915225879,,36.3410250419993,-93.5382463857737,27690,43.9538193778416,27.7,33.5,12.77965783,57.25737,82.278481013,45.073848827,6.0,45023.0,20888.0,500.0,75744.0,19650.0,17.5,20.9,22.1
ARKANSAS,CHICOT,0.1692033998813994,0.482,0.4109195402298851,,33.2672178533189,-91.2939840753232,11189,17.3658689782684,38.8,35.6,8.9078233927,103.42234,86.554621849,47.481420314,10.8,31787.0,18853.0,230.0,73492.0,11670.0,30.9,19.2,22.9
