state,county,total_percent_infected,percent_vaccinated,percent_republican,date_stay_at_home_effective,total_population,population_density_per_sqmi,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,high_school_graduation_rate,percent_some_college,percent_unemployed_CDC,median_household_income,per_capita_income,eightieth_percentile_income,twentieth_percentile_income,percent_below_poverty,percent_age_65_and_older,percent_age_17_and_younger
MICHIGAN,ONTONAGON,0.0851398601398601,0.621,0.603035610040864,0.7222222222222222,6165,4.7013679393474,0.303,0.314,0.084174190122,0.9375,0.65829145729,0.12,40798.0,22428.0,70293.0,18429.0,0.152,0.317,0.132
MICHIGAN,OSCEOLA,0.0844842284739983,0.345,0.6914883589405222,0.7222222222222222,23172,40.9089332575502,0.40299999999999997,0.201,0.08033486721699999,0.86363636364,0.48687928946,0.08800000000000001,45607.0,19853.0,79517.0,19042.0,0.22699999999999998,0.188,0.235
MICHIGAN,OSCODA,0.0845771144278607,0.377,0.6980112938865701,0.7222222222222222,8374,14.8018947397823,0.387,0.282,0.08995327102799999,0.89830508475,0.53807471264,0.10300000000000001,38927.0,20047.0,68396.0,18218.0,0.195,0.262,0.191
MICHIGAN,OTSEGO,0.0967650397275823,0.484,0.6592758015632477,0.7222222222222222,24198,46.9870634267703,0.27399999999999997,0.255,0.06035153212,0.8608058608100001,0.66978922717,0.068,51292.0,25655.0,97923.0,25375.0,0.142,0.193,0.217
MICHIGAN,OTTAWA,0.1147894322036802,0.474,0.6198032704191012,0.7222222222222222,276583,490.762139528491,0.272,0.20800000000000002,0.051551425155999996,0.92522179975,0.70224525561,0.053,70420.0,27696.0,118495.0,32046.0,0.099,0.132,0.249
MICHIGAN,PRESQUE ISLE,0.085054002541296,0.531,0.6217788861180382,0.7222222222222222,12955,19.6670439567787,0.33299999999999996,0.257,0.075721290911,0.93859649123,0.61057225994,0.124,45502.0,23862.0,81836.0,20360.0,0.135,0.29,0.165
MICHIGAN,ROSCOMMON,0.0801032515924892,0.49,0.6242619431025228,0.7222222222222222,23900,45.9936911639543,0.342,0.327,0.074754057272,0.81182795699,0.58851802403,0.14,38613.0,21807.0,70488.0,17146.0,0.19699999999999998,0.297,0.153
MICHIGAN,SAGINAW,0.1209516162045565,0.447,0.4820716709075487,0.7222222222222222,195201,243.861164601422,0.373,0.255,0.060801258969,0.84868093579,0.64916983937,0.095,48805.0,24020.0,92902.0,20293.0,0.179,0.172,0.221
MICHIGAN,SANILAC,0.1041777993684721,0.373,0.6985297937555197,0.7222222222222222,41761,43.3848969624638,0.326,0.266,0.074886042978,0.8711656441700001,0.54883612118,0.092,46184.0,22510.0,84291.0,20535.0,0.157,0.195,0.223
MICHIGAN,SCHOOLCRAFT,0.0547319001729676,0.479,0.6153105440539239,0.7222222222222222,8186,6.98843289007364,0.289,0.263,0.084059456689,0.96774193548,0.49889786921,0.121,44887.0,20975.0,81500.0,17793.0,0.215,0.24,0.187
MICHIGAN,SHIAWASSEE,0.0968409618038225,0.436,0.5637477646506992,0.7222222222222222,68800,129.620894724574,0.381,0.28600000000000003,0.057033741060000004,0.89005235602,0.65477252453,0.08800000000000001,54149.0,23927.0,97605.0,25362.0,0.142,0.16399999999999998,0.223
MICHIGAN,ST. CLAIR,0.1178108189633502,0.428,0.6288347884055742,0.7222222222222222,160069,221.952780093242,0.335,0.262,0.059241578024,0.9168886521,0.64356799548,0.091,56557.0,26377.0,105847.0,24688.0,0.141,0.16699999999999998,0.22
MICHIGAN,ST. JOSEPH,0.1049799881897513,0.371,0.6265100812392137,0.7222222222222222,60923,121.699496117272,0.335,0.317,0.081505523748,0.9235127478799999,0.50921545089,0.066,52689.0,22182.0,88523.0,23611.0,0.162,0.16399999999999998,0.251
MICHIGAN,TUSCOLA,0.1106325964207101,0.39,0.6629710032563189,0.7222222222222222,54014,67.234337609483,0.306,0.29600000000000004,0.059546925566000004,0.85666666667,0.5538985939500001,0.084,51113.0,22511.0,87571.0,22100.0,0.158,0.183,0.215
MICHIGAN,VAN BUREN,0.0972290127779906,0.45,0.5376570295125324,0.7222222222222222,75216,123.754792832148,0.336,0.28,0.08226024386700001,0.83660714286,0.58173190985,0.076,57363.0,23943.0,99704.0,23324.0,0.175,0.16,0.242
MICHIGAN,WASHTENAW,0.0755846692473633,0.624,0.2684883708598033,0.7222222222222222,358082,507.227142157559,0.245,0.153,0.045874506838000005,0.9123563218399999,0.8581243741900001,0.063,72267.0,35888.0,142080.0,27482.0,0.152,0.12,0.196
MICHIGAN,WAYNE,0.0971982052690638,0.455,0.2943967767067179,0.7222222222222222,1767593,2888.15344572878,0.34700000000000003,0.265,0.06806399381,0.86481125643,0.61061280505,0.13,46440.0,23666.0,97367.0,16921.0,0.245,0.138,0.242
