state,county,total_percent_infected,percent_vaccinated,total_population,population_density_per_sqmi,percent_republican,date_stay_at_home_effective,percent_adults_with_obesity,percent_physically_inactive,percent_age_65_and_older,percent_age_17_and_younger
KENTUCKY,HARDIN,0.0995692063663728,0.551,107573,172.586783967237,0.6249652423764945,0.6111111111111112,0.37799999999999995,0.318,0.12300000000000001,0.251
KENTUCKY,HARLAN,0.1214917339484813,0.371,28031,60.1746721133157,0.8486566886678442,0.6111111111111112,0.324,0.325,0.16399999999999998,0.22699999999999998
KENTUCKY,HARRISON,0.101715556496876,0.427,18629,60.8066971356952,0.6984963372317183,0.6111111111111112,0.358,0.318,0.17,0.231
KENTUCKY,HART,0.1231941161019175,0.306,18510,44.87508606081,0.7323788546255506,0.6111111111111112,0.307,0.354,0.16,0.243
KENTUCKY,HENDERSON,0.1224507852245078,0.429,46362,106.217462345397,0.6168949771689498,0.6111111111111112,0.358,0.312,0.157,0.233
KENTUCKY,HENRY,0.0963041051717722,0.495,15528,54.2414331562998,0.6915652538816618,0.6111111111111112,0.287,0.24,0.158,0.23600000000000002
KENTUCKY,HICKMAN,0.093607305936073,0.312,4691,19.3623458911831,0.7681965693092258,0.6111111111111112,0.29600000000000004,0.354,0.23399999999999999,0.19699999999999998
KENTUCKY,HOPKINS,0.1201718659087857,0.442,46359,85.5338739492553,0.7508970262963873,0.6111111111111112,0.359,0.331,0.17,0.231
KENTUCKY,JACKSON,0.1162877935328982,0.285,13357,38.6938803830929,0.8887475004544628,0.6111111111111112,0.435,0.369,0.154,0.22699999999999998
KENTUCKY,JEFFERSON,0.1136383495683769,0.617,759724,1996.77467042086,0.4071605980192524,0.6111111111111112,0.322,0.249,0.145,0.22699999999999998
KENTUCKY,JESSAMINE,0.0940219902060426,0.512,51015,296.38928927978,0.663379919403241,0.6111111111111112,0.336,0.292,0.135,0.249
KENTUCKY,JOHNSON,0.1043356769424914,0.403,23280,88.8692458959585,0.8402632678646051,0.6111111111111112,0.436,0.36,0.163,0.22699999999999998
KENTUCKY,KENTON,0.1079114719936765,0.579,163393,1019.60111658686,0.5966554626517403,0.6111111111111112,0.332,0.254,0.127,0.243
KENTUCKY,KNOTT,0.0886127245711198,0.396,15884,45.1868897725885,0.7560298455665452,0.6111111111111112,0.41100000000000003,0.40299999999999997,0.155,0.209
KENTUCKY,KNOX,0.1357521271472146,0.298,31740,82.1644479023422,0.8229270729270729,0.6111111111111112,0.39399999999999996,0.34,0.16899999999999998,0.23600000000000002
KENTUCKY,LARUE,0.1027226003611612,0.371,14127,54.0162556229486,0.7537301711952253,0.6111111111111112,0.361,0.311,0.171,0.221
KENTUCKY,LAUREL,0.141400687353033,0.342,59950,138.14707475021,0.8292191841501229,0.6111111111111112,0.391,0.34700000000000003,0.149,0.23800000000000002
KENTUCKY,LAWRENCE,0.1030227851406933,0.383,15870,38.1862300472557,0.797087057265806,0.6111111111111112,0.397,0.32899999999999996,0.157,0.23399999999999999
KENTUCKY,LEE,0.1791165743617452,0.409,6896,33.0177854984473,0.8065241844769404,0.6111111111111112,0.39799999999999996,0.33,0.162,0.20600000000000002
KENTUCKY,LESLIE,0.1076237724005264,0.442,10869,27.1152832556177,0.8938112199465716,0.6111111111111112,0.414,0.341,0.162,0.22
KENTUCKY,LETCHER,0.1056001484712105,0.44,23382,69.1951615820238,0.7984453689511715,0.6111111111111112,0.389,0.353,0.16699999999999998,0.218
KENTUCKY,LEWIS,0.1138983050847457,0.279,13646,28.2621742437194,0.823518308795772,0.6111111111111112,0.433,0.374,0.168,0.222
KENTUCKY,LINCOLN,0.1070104688582019,0.353,24424,73.4043089530666,0.7674929400690305,0.6111111111111112,0.38,0.271,0.16899999999999998,0.237
KENTUCKY,LIVINGSTON,0.1062649554056993,0.423,9353,29.8695362430631,0.7685683530678149,0.6111111111111112,0.32299999999999995,0.312,0.2,0.204
KENTUCKY,LOGAN,0.1223156962585787,0.437,26757,48.4612801123559,0.7136434535278466,0.6111111111111112,0.384,0.285,0.172,0.24
KENTUCKY,LYON,0.1953714981729598,0.529,8325,38.9308702148783,0.7039374053508329,0.6111111111111112,0.265,0.312,0.231,0.14400000000000002
KENTUCKY,MADISON,0.1101551829825674,0.446,87324,199.688707081543,0.6269834898718257,0.6111111111111112,0.35200000000000004,0.23199999999999998,0.127,0.21100000000000002
KENTUCKY,MAGOFFIN,0.0920154592549954,0.394,12887,41.780679837823,0.7474589523064894,0.6111111111111112,0.366,0.315,0.14800000000000002,0.233
KENTUCKY,MARION,0.1316868157526072,0.446,19497,56.8410071856879,0.6314881025767476,0.6111111111111112,0.369,0.382,0.152,0.242
KENTUCKY,MARSHALL,0.1045337620578778,0.471,31213,103.606086506132,0.7379326865492873,0.6111111111111112,0.382,0.28,0.21,0.205
KENTUCKY,MARTIN,0.1033497096918267,0.446,12478,54.342994599056,0.8861624082974956,0.6111111111111112,0.405,0.35,0.135,0.20800000000000002
KENTUCKY,MASON,0.1080843585237258,0.441,17229,71.7493489159985,0.6848593988086993,0.6111111111111112,0.34299999999999997,0.321,0.16399999999999998,0.23199999999999998
KENTUCKY,MCCRACKEN,0.1134550123819132,0.487,65292,262.4840162261,0.6635576708084454,0.6111111111111112,0.3,0.28300000000000003,0.18100000000000002,0.21899999999999997
KENTUCKY,MCCREARY,0.1253554639893215,0.354,17850,41.8225140029252,0.8677285318559557,0.6111111111111112,0.39799999999999996,0.39299999999999996,0.138,0.22399999999999998
KENTUCKY,MCLEAN,0.1053546214836537,0.428,9492,37.5958701933811,0.740473061760841,0.6111111111111112,0.377,0.318,0.18899999999999997,0.237
KENTUCKY,MEADE,0.0792734145317093,0.368,28751,94.1347711179021,0.7080369552775734,0.6111111111111112,0.366,0.3,0.124,0.248
KENTUCKY,MENIFEE,0.0795191863153028,0.378,6345,31.1663519826827,0.723281756027348,0.6111111111111112,0.32899999999999996,0.337,0.18,0.214
